# Station : Cobourg (13590) 
# Time Zone: EST
# Chart Datum is 74.200 metres above IGLD 1985
# For Real Time Water Levels Call 905-372-6214
Date,Time,Height
2019/06/01,00:00,1.669
2019/06/01,01:00,1.665
2019/06/01,02:00,1.638
2019/06/01,03:00,1.68
2019/06/01,04:00,1.66
2019/06/01,05:00,1.618
2019/06/01,06:00,1.66
2019/06/01,07:00,1.633
2019/06/01,08:00,1.66
2019/06/01,09:00,1.688
2019/06/01,10:00,1.67
2019/06/01,11:00,1.679
2019/06/01,12:00,1.696
2019/06/01,13:00,1.718
2019/06/01,14:00,1.705
2019/06/01,15:00,1.711
2019/06/01,16:00,1.681
2019/06/01,17:00,1.71
2019/06/01,18:00,1.70
2019/06/01,19:00,1.69
2019/06/01,20:00,1.639
2019/06/01,21:00,1.692
2019/06/01,22:00,1.669
2019/06/01,23:00,1.676
2019/06/02,00:00,1.687
2019/06/02,01:00,1.727
2019/06/02,02:00,1.729
2019/06/02,03:00,1.719
2019/06/02,04:00,1.696
2019/06/02,05:00,1.683
2019/06/02,06:00,1.662
2019/06/02,07:00,1.67
2019/06/02,08:00,1.673
2019/06/02,09:00,1.658
2019/06/02,10:00,1.668
2019/06/02,11:00,1.686
2019/06/02,12:00,1.668
2019/06/02,13:00,1.71
2019/06/02,14:00,1.693
2019/06/02,15:00,1.687
2019/06/02,16:00,1.67
2019/06/02,17:00,1.673
2019/06/02,18:00,1.692
2019/06/02,19:00,1.688
