# Station : Kingston (Portsmouth) (13988) 
# Time Zone: EST
# Chart Datum is 74.200 metres above IGLD 1985
# For Real Time Water Levels Call 613-544-9264
Date,Time,Height
2019/06/01,00:00,1.613
2019/06/01,01:00,1.642
2019/06/01,02:00,1.631
2019/06/01,03:00,1.643
2019/06/01,04:00,1.633
2019/06/01,05:00,1.583
2019/06/01,06:00,1.657
2019/06/01,07:00,1.607
2019/06/01,08:00,1.687
2019/06/01,09:00,1.626
2019/06/01,10:00,1.633
2019/06/01,11:00,1.651
2019/06/01,12:00,1.646
2019/06/01,13:00,1.684
2019/06/01,14:00,1.595
2019/06/01,15:00,1.655
2019/06/01,16:00,1.632
2019/06/01,17:00,1.649
2019/06/01,18:00,1.652
2019/06/01,19:00,1.662
2019/06/01,20:00,1.656
2019/06/01,21:00,1.644
2019/06/01,22:00,1.606
2019/06/01,23:00,1.695
2019/06/02,00:00,1.665
2019/06/02,01:00,1.663
2019/06/02,02:00,1.629
2019/06/02,03:00,1.653
2019/06/02,04:00,1.671
2019/06/02,05:00,1.702
2019/06/02,06:00,1.657
2019/06/02,07:00,1.657
2019/06/02,08:00,1.643
2019/06/02,09:00,1.689
2019/06/02,10:00,1.691
2019/06/02,11:00,1.681
2019/06/02,12:00,1.671
2019/06/02,13:00,1.654
2019/06/02,14:00,1.686
2019/06/02,15:00,1.701
2019/06/02,16:00,1.695
2019/06/02,17:00,1.672
2019/06/02,18:00,1.686
2019/06/02,19:00,1.69
2019/06/02,20:00,1.684
2019/06/02,21:00,1.688
2019/06/02,22:00,1.668
2019/06/02,23:00,1.666
2019/06/03,00:00,1.678
2019/06/03,01:00,1.672
2019/06/03,02:00,1.674
2019/06/03,03:00,1.671
2019/06/03,04:00,1.675
2019/06/03,05:00,1.68
2019/06/03,06:00,1.689
2019/06/03,07:00,1.714
2019/06/03,08:00,1.686
2019/06/03,09:00,1.699
2019/06/03,10:00,1.717
2019/06/03,11:00,1.689
2019/06/03,12:00,1.695
2019/06/03,13:00,1.695
2019/06/03,14:00,1.701
2019/06/03,15:00,1.707
2019/06/03,16:00,1.707
2019/06/03,17:00,1.678
2019/06/03,18:00,1.666
2019/06/03,19:00,1.667
2019/06/03,20:00,1.675
2019/06/03,21:00,1.684
2019/06/03,22:00,1.66
2019/06/03,23:00,1.656
2019/06/04,00:00,1.65
2019/06/04,01:00,1.66
2019/06/04,02:00,1.668
2019/06/04,03:00,1.659
2019/06/04,04:00,1.648
2019/06/04,05:00,1.659
2019/06/04,06:00,1.662
2019/06/04,07:00,1.664
2019/06/04,08:00,1.669
2019/06/04,09:00,1.679
2019/06/04,10:00,1.671
2019/06/04,11:00,1.671
2019/06/04,12:00,1.674
2019/06/04,13:00,1.669
2019/06/04,14:00,1.652
2019/06/04,15:00,1.64
2019/06/04,16:00,1.613
2019/06/04,17:00,1.623
2019/06/04,18:00,1.63
2019/06/04,19:00,1.636
2019/06/04,20:00,1.637
2019/06/04,21:00,1.646
2019/06/04,22:00,1.655
2019/06/04,23:00,1.651
2019/06/05,00:00,1.686
2019/06/05,01:00,1.665
2019/06/05,02:00,1.669
2019/06/05,03:00,1.631
2019/06/05,04:00,1.651
2019/06/05,05:00,1.656
2019/06/05,06:00,1.655
2019/06/05,07:00,1.666
2019/06/05,08:00,1.65
2019/06/05,09:00,1.656
2019/06/05,10:00,1.662
2019/06/05,11:00,1.657
2019/06/05,12:00,1.655
2019/06/05,13:00,1.651
2019/06/05,14:00,1.637
2019/06/05,15:00,1.619
2019/06/05,16:00,1.675
2019/06/05,17:00,1.667
2019/06/05,18:00,1.641
2019/06/05,19:00,1.651
2019/06/05,20:00,1.652
2019/06/05,21:00,1.69
2019/06/05,22:00,1.68
2019/06/05,23:00,1.701
2019/06/06,00:00,1.655
2019/06/06,01:00,1.677
2019/06/06,02:00,1.683
2019/06/06,03:00,1.681
2019/06/06,04:00,1.675
2019/06/06,05:00,1.664
2019/06/06,06:00,1.671
2019/06/06,07:00,1.673
2019/06/06,08:00,1.699
2019/06/06,09:00,1.691
2019/06/06,10:00,1.677
2019/06/06,11:00,1.703
2019/06/06,12:00,1.697
2019/06/06,13:00,1.697
2019/06/06,14:00,1.689
2019/06/06,15:00,1.673
2019/06/06,16:00,1.67
2019/06/06,17:00,1.677
2019/06/06,18:00,1.671
2019/06/06,19:00,1.665
2019/06/06,20:00,1.664
2019/06/06,21:00,1.674
2019/06/06,22:00,1.68
2019/06/06,23:00,1.688
2019/06/07,00:00,1.68
2019/06/07,01:00,1.679
2019/06/07,02:00,1.68
2019/06/07,03:00,1.70
2019/06/07,04:00,1.689
2019/06/07,05:00,1.679
2019/06/07,06:00,1.675
2019/06/07,07:00,1.672
2019/06/07,08:00,1.683
2019/06/07,09:00,1.693
2019/06/07,10:00,1.689
2019/06/07,11:00,1.69
2019/06/07,12:00,1.684
2019/06/07,13:00,1.692
2019/06/07,14:00,1.68
2019/06/07,15:00,1.685
2019/06/07,16:00,1.671
2019/06/07,17:00,1.662
2019/06/07,18:00,1.666
2019/06/07,19:00,1.658
2019/06/07,20:00,1.657
2019/06/07,21:00,1.651
2019/06/07,22:00,1.662
2019/06/07,23:00,1.667
2019/06/08,00:00,1.665
2019/06/08,01:00,1.658
2019/06/08,02:00,1.662
2019/06/08,03:00,1.646
2019/06/08,04:00,1.658
2019/06/08,05:00,1.653
2019/06/08,06:00,1.654
2019/06/08,07:00,1.646
2019/06/08,08:00,1.651
2019/06/08,09:00,1.659
2019/06/08,10:00,1.661
2019/06/08,11:00,1.665
2019/06/08,12:00,1.658
2019/06/08,13:00,1.666
2019/06/08,14:00,1.658
2019/06/08,15:00,1.671
2019/06/08,16:00,1.665
2019/06/08,17:00,1.66
2019/06/08,18:00,1.652
2019/06/08,19:00,1.645
2019/06/08,20:00,1.644
2019/06/08,21:00,1.651
2019/06/08,22:00,1.655
2019/06/08,23:00,1.648
2019/06/09,00:00,1.654
2019/06/09,01:00,1.663
2019/06/09,02:00,1.658
2019/06/09,03:00,1.658
2019/06/09,04:00,1.654
2019/06/09,05:00,1.646
2019/06/09,06:00,1.651
2019/06/09,07:00,1.652
2019/06/09,08:00,1.651
2019/06/09,09:00,1.651
2019/06/09,10:00,1.643
2019/06/09,11:00,1.642
2019/06/09,12:00,1.645
2019/06/09,13:00,1.657
2019/06/09,14:00,1.66
2019/06/09,15:00,1.637
2019/06/09,16:00,1.646
2019/06/09,17:00,1.638
2019/06/09,18:00,1.646
2019/06/09,19:00,1.637
2019/06/09,20:00,1.641
2019/06/09,21:00,1.636
2019/06/09,22:00,1.635
2019/06/09,23:00,1.651
2019/06/10,00:00,1.644
2019/06/10,01:00,1.651
2019/06/10,02:00,1.648
2019/06/10,03:00,1.638
2019/06/10,04:00,1.645
2019/06/10,05:00,1.643
2019/06/10,06:00,1.647
2019/06/10,07:00,1.646
2019/06/10,08:00,1.643
2019/06/10,09:00,1.645
2019/06/10,10:00,1.621
2019/06/10,11:00,1.641
2019/06/10,12:00,1.638
2019/06/10,13:00,1.649
2019/06/10,14:00,1.648
2019/06/10,15:00,1.658
2019/06/10,16:00,1.637
2019/06/10,17:00,1.646
2019/06/10,18:00,1.656
2019/06/10,19:00,1.675
2019/06/10,20:00,1.665
2019/06/10,21:00,1.676
2019/06/10,22:00,1.697
2019/06/10,23:00,1.726
2019/06/11,00:00,1.78
2019/06/11,01:00,1.751
2019/06/11,02:00,1.719
2019/06/11,03:00,1.713
2019/06/11,04:00,1.709
2019/06/11,05:00,1.709
2019/06/11,06:00,1.716
2019/06/11,07:00,1.693
2019/06/11,08:00,1.659
2019/06/11,09:00,1.684
2019/06/11,10:00,1.682
2019/06/11,11:00,1.699
2019/06/11,12:00,1.687
2019/06/11,13:00,1.68
2019/06/11,14:00,1.70
2019/06/11,15:00,1.695
2019/06/11,16:00,1.697
2019/06/11,17:00,1.691
2019/06/11,18:00,1.672
2019/06/11,19:00,1.674
2019/06/11,20:00,1.673
2019/06/11,21:00,1.659
2019/06/11,22:00,1.655
2019/06/11,23:00,1.661
2019/06/12,00:00,1.67
2019/06/12,01:00,1.676
2019/06/12,02:00,1.675
2019/06/12,03:00,1.676
2019/06/12,04:00,1.663
2019/06/12,05:00,1.678
2019/06/12,06:00,1.689
2019/06/12,07:00,1.681
2019/06/12,08:00,1.679
2019/06/12,09:00,1.657
2019/06/12,10:00,1.67
2019/06/12,11:00,1.654
2019/06/12,12:00,1.659
2019/06/12,13:00,1.641
2019/06/12,14:00,1.638
2019/06/12,15:00,1.656
2019/06/12,16:00,1.657
2019/06/12,17:00,1.662
2019/06/12,18:00,1.666
2019/06/12,19:00,1.654
2019/06/12,20:00,1.659
2019/06/12,21:00,1.657
2019/06/12,22:00,1.65
2019/06/12,23:00,1.646
2019/06/13,00:00,1.643
2019/06/13,01:00,1.661
2019/06/13,02:00,1.672
2019/06/13,03:00,1.672
2019/06/13,04:00,1.655
2019/06/13,05:00,1.668
2019/06/13,06:00,1.662
2019/06/13,07:00,1.678
2019/06/13,08:00,1.67
2019/06/13,09:00,1.688
