# Station : Brockville (14400) 
# Time Zone: EST
# Chart Datum is 73.950 metres above IGLD 1985
# For Real Time Water Levels Call 613-345-0095
Date,Time,Height
2019/06/01,00:00,1.594
2019/06/01,01:00,1.589
2019/06/01,02:00,1.572
2019/06/01,03:00,1.573
2019/06/01,04:00,1.577
2019/06/01,05:00,1.583
2019/06/01,06:00,1.582
2019/06/01,07:00,1.558
2019/06/01,08:00,1.574
2019/06/01,09:00,1.583
2019/06/01,10:00,1.598
2019/06/01,11:00,1.59
2019/06/01,12:00,1.579
2019/06/01,13:00,1.579
2019/06/01,14:00,1.584
2019/06/01,15:00,1.591
2019/06/01,16:00,1.558
2019/06/01,17:00,1.562
2019/06/01,18:00,1.568
2019/06/01,19:00,1.583
2019/06/01,20:00,1.598
2019/06/01,21:00,1.607
2019/06/01,22:00,1.602
2019/06/01,23:00,1.592
2019/06/02,00:00,1.563
2019/06/02,01:00,1.591
2019/06/02,02:00,1.614
2019/06/02,03:00,1.614
2019/06/02,04:00,1.604
2019/06/02,05:00,1.593
2019/06/02,06:00,1.62
2019/06/02,07:00,1.646
2019/06/02,08:00,1.654
2019/06/02,09:00,1.647
2019/06/02,10:00,1.624
2019/06/02,11:00,1.642
2019/06/02,12:00,1.66
2019/06/02,13:00,1.662
2019/06/02,14:00,1.652
2019/06/02,15:00,1.634
2019/06/02,16:00,1.65
2019/06/02,17:00,1.667
2019/06/02,18:00,1.689
2019/06/02,19:00,1.695
2019/06/02,20:00,1.689
2019/06/02,21:00,1.683
2019/06/02,22:00,1.687
2019/06/02,23:00,1.684
2019/06/03,00:00,1.673
2019/06/03,01:00,1.66
2019/06/03,02:00,1.652
2019/06/03,03:00,1.651
2019/06/03,04:00,1.662
2019/06/03,05:00,1.663
2019/06/03,06:00,1.668
2019/06/03,07:00,1.667
2019/06/03,08:00,1.678
2019/06/03,09:00,1.696
2019/06/03,10:00,1.713
2019/06/03,11:00,1.71
2019/06/03,12:00,1.712
2019/06/03,13:00,1.697
2019/06/03,14:00,1.68
2019/06/03,15:00,1.672
2019/06/03,16:00,1.70
2019/06/03,17:00,1.711
2019/06/03,18:00,1.719
2019/06/03,19:00,1.71
2019/06/03,20:00,1.68
2019/06/03,21:00,1.652
2019/06/03,22:00,1.651
2019/06/03,23:00,1.649
2019/06/04,00:00,1.645
2019/06/04,01:00,1.624
2019/06/04,02:00,1.606
2019/06/04,03:00,1.596
2019/06/04,04:00,1.606
2019/06/04,05:00,1.604
2019/06/04,06:00,1.60
2019/06/04,07:00,1.611
2019/06/04,08:00,1.621
2019/06/04,09:00,1.637
2019/06/04,10:00,1.643
2019/06/04,11:00,1.648
2019/06/04,12:00,1.653
2019/06/04,13:00,1.647
2019/06/04,14:00,1.665
2019/06/04,15:00,1.648
2019/06/04,16:00,1.608
2019/06/04,17:00,1.588
2019/06/04,18:00,1.566
2019/06/04,19:00,1.562
2019/06/04,20:00,1.561
2019/06/04,21:00,1.569
2019/06/04,22:00,1.575
2019/06/04,23:00,1.577
2019/06/05,00:00,1.571
2019/06/05,01:00,1.564
2019/06/05,02:00,1.569
2019/06/05,03:00,1.58
2019/06/05,04:00,1.577
2019/06/05,05:00,1.562
2019/06/05,06:00,1.555
2019/06/05,07:00,1.556
2019/06/05,08:00,1.562
2019/06/05,09:00,1.563
2019/06/05,10:00,1.568
2019/06/05,11:00,1.557
2019/06/05,12:00,1.556
2019/06/05,13:00,1.555
2019/06/05,14:00,1.557
2019/06/05,15:00,1.559
2019/06/05,16:00,1.543
2019/06/05,17:00,1.528
2019/06/05,18:00,1.551
2019/06/05,19:00,1.56
2019/06/05,20:00,1.546
2019/06/05,21:00,1.534
2019/06/05,22:00,1.537
2019/06/05,23:00,1.558
2019/06/06,00:00,1.579
2019/06/06,01:00,1.584
2019/06/06,02:00,1.571
2019/06/06,03:00,1.566
2019/06/06,04:00,1.57
2019/06/06,05:00,1.577
2019/06/06,06:00,1.575
2019/06/06,07:00,1.57
2019/06/06,08:00,1.566
2019/06/06,09:00,1.574
2019/06/06,10:00,1.585
2019/06/06,11:00,1.572
2019/06/06,12:00,1.542
2019/06/06,13:00,1.54
2019/06/06,14:00,1.542
2019/06/06,15:00,1.536
2019/06/06,16:00,1.539
2019/06/06,17:00,1.527
2019/06/06,18:00,1.519
2019/06/06,19:00,1.521
2019/06/06,20:00,1.524
2019/06/06,21:00,1.523
2019/06/06,22:00,1.521
2019/06/06,23:00,1.522
2019/06/07,00:00,1.527
2019/06/07,01:00,1.539
2019/06/07,02:00,1.542
