# Station : Iroquois below/aval (14602) 
# Time Zone: EST
# Chart Datum is 73.180 metres above IGLD 1985
# For Real Time Water Levels Call 613-652-4839
Date,Time,Height
2019/06/01,00:00,1.117
2019/06/01,01:00,1.113
2019/06/01,02:00,1.111
2019/06/01,03:00,1.102
2019/06/01,04:00,1.096
2019/06/01,05:00,1.097
2019/06/01,06:00,1.095
2019/06/01,07:00,1.089
2019/06/01,08:00,1.074
2019/06/01,09:00,1.08
2019/06/01,10:00,1.093
2019/06/01,11:00,1.092
2019/06/01,12:00,1.077
2019/06/01,13:00,1.056
2019/06/01,14:00,1.063
2019/06/01,15:00,1.069
2019/06/01,16:00,1.049
2019/06/01,17:00,1.006
2019/06/01,18:00,1.029
2019/06/01,19:00,1.027
2019/06/01,20:00,1.029
2019/06/01,21:00,1.026
2019/06/01,22:00,1.012
2019/06/01,23:00,1.042
2019/06/02,00:00,1.02
2019/06/02,01:00,1.018
2019/06/02,02:00,1.011
2019/06/02,03:00,1.046
2019/06/02,04:00,1.033
2019/06/02,05:00,1.031
2019/06/02,06:00,1.028
2019/06/02,07:00,1.038
2019/06/02,08:00,1.054
2019/06/02,09:00,1.054
2019/06/02,10:00,1.042
2019/06/02,11:00,1.049
2019/06/02,12:00,1.05
2019/06/02,13:00,1.062
2019/06/02,14:00,1.086
2019/06/02,15:00,1.068
2019/06/02,16:00,1.056
2019/06/02,17:00,1.08
2019/06/02,18:00,1.078
2019/06/02,19:00,1.093
2019/06/02,20:00,1.091
2019/06/02,21:00,1.068
2019/06/02,22:00,1.085
2019/06/02,23:00,1.107
2019/06/03,00:00,1.105
2019/06/03,01:00,1.098
2019/06/03,02:00,1.086
2019/06/03,03:00,1.089
2019/06/03,04:00,1.087
2019/06/03,05:00,1.084
2019/06/03,06:00,1.083
2019/06/03,07:00,1.088
2019/06/03,08:00,1.078
2019/06/03,09:00,1.089
2019/06/03,10:00,1.092
2019/06/03,11:00,1.097
2019/06/03,12:00,1.087
2019/06/03,13:00,1.092
2019/06/03,14:00,1.094
2019/06/03,15:00,1.094
2019/06/03,16:00,1.104
2019/06/03,17:00,1.081
2019/06/03,18:00,1.108
2019/06/03,19:00,1.117
2019/06/03,20:00,1.088
2019/06/03,21:00,1.071
2019/06/03,22:00,1.064
2019/06/03,23:00,1.055
2019/06/04,00:00,1.048
2019/06/04,01:00,1.031
2019/06/04,02:00,1.015
2019/06/04,03:00,1.009
2019/06/04,04:00,1.008
2019/06/04,05:00,1.006
2019/06/04,06:00,0.994
2019/06/04,07:00,0.986
2019/06/04,08:00,0.98
2019/06/04,09:00,0.958
2019/06/04,10:00,0.971
2019/06/04,11:00,0.966
2019/06/04,12:00,0.964
2019/06/04,13:00,0.959
2019/06/04,14:00,0.953
2019/06/04,15:00,0.92
2019/06/04,16:00,0.933
2019/06/04,17:00,0.938
2019/06/04,18:00,0.916
2019/06/04,19:00,0.913
2019/06/04,20:00,0.901
2019/06/04,21:00,0.892
2019/06/04,22:00,0.904
2019/06/04,23:00,0.886
2019/06/05,00:00,0.866
2019/06/05,01:00,0.875
2019/06/05,02:00,0.842
2019/06/05,03:00,0.857
2019/06/05,04:00,0.855
2019/06/05,05:00,0.846
2019/06/05,06:00,0.838
2019/06/05,07:00,0.837
2019/06/05,08:00,0.853
2019/06/05,09:00,0.826
2019/06/05,10:00,0.826
2019/06/05,11:00,0.819
2019/06/05,12:00,0.811
2019/06/05,13:00,0.817
2019/06/05,14:00,0.80
2019/06/05,15:00,0.786
2019/06/05,16:00,0.81
2019/06/05,17:00,0.781
2019/06/05,18:00,0.773
2019/06/05,19:00,0.778
2019/06/05,20:00,0.784
2019/06/05,21:00,0.773
2019/06/05,22:00,0.744
2019/06/05,23:00,0.758
2019/06/06,00:00,0.759
2019/06/06,01:00,0.753
2019/06/06,02:00,0.75
2019/06/06,03:00,0.749
2019/06/06,04:00,0.74
2019/06/06,05:00,0.737
2019/06/06,06:00,0.74
2019/06/06,07:00,0.733
2019/06/06,08:00,0.722
2019/06/06,09:00,0.742
2019/06/06,10:00,0.82
2019/06/06,11:00,0.837
2019/06/06,12:00,0.832
2019/06/06,13:00,0.88
2019/06/06,14:00,0.894
2019/06/06,15:00,0.914
2019/06/06,16:00,0.916
2019/06/06,17:00,0.94
2019/06/06,18:00,0.934
2019/06/06,19:00,0.946
2019/06/06,20:00,0.951
2019/06/06,21:00,0.973
2019/06/06,22:00,0.971
2019/06/06,23:00,0.986
2019/06/07,00:00,0.986
2019/06/07,01:00,0.996
2019/06/07,02:00,1.008
2019/06/07,03:00,1.017
2019/06/07,04:00,1.016
2019/06/07,05:00,1.028
2019/06/07,06:00,1.034
2019/06/07,07:00,1.038
2019/06/07,08:00,1.041
2019/06/07,09:00,1.048
2019/06/07,10:00,1.052
2019/06/07,11:00,1.055
2019/06/07,12:00,1.064
2019/06/07,13:00,1.077
2019/06/07,14:00,1.089
2019/06/07,15:00,1.087
2019/06/07,16:00,1.099
2019/06/07,17:00,1.102
2019/06/07,18:00,1.103
2019/06/07,19:00,1.103
2019/06/07,20:00,1.104
2019/06/07,21:00,1.114
2019/06/07,22:00,1.11
2019/06/07,23:00,1.102
2019/06/08,00:00,1.098
2019/06/08,01:00,1.114
2019/06/08,02:00,1.102
2019/06/08,03:00,1.106
2019/06/08,04:00,1.106
2019/06/08,05:00,1.103
2019/06/08,06:00,1.095
2019/06/08,07:00,1.095
2019/06/08,08:00,1.108
2019/06/08,09:00,1.093
2019/06/08,10:00,1.091
2019/06/08,11:00,1.091
2019/06/08,12:00,1.087
2019/06/08,13:00,1.097
2019/06/08,14:00,1.099
2019/06/08,15:00,1.074
2019/06/08,16:00,1.089
2019/06/08,17:00,1.09
2019/06/08,18:00,1.096
2019/06/08,19:00,1.098
2019/06/08,20:00,1.092
2019/06/08,21:00,1.092
2019/06/08,22:00,1.09
2019/06/08,23:00,1.09
2019/06/09,00:00,1.093
2019/06/09,01:00,1.10
2019/06/09,02:00,1.09
2019/06/09,03:00,1.087
2019/06/09,04:00,1.093
2019/06/09,05:00,1.095
2019/06/09,06:00,1.09
2019/06/09,07:00,1.096
2019/06/09,08:00,1.085
2019/06/09,09:00,1.081
2019/06/09,10:00,1.094
2019/06/09,11:00,1.086
2019/06/09,12:00,1.085
2019/06/09,13:00,1.087
2019/06/09,14:00,1.081
2019/06/09,15:00,1.087
2019/06/09,16:00,1.089
2019/06/09,17:00,1.089
2019/06/09,18:00,1.082
2019/06/09,19:00,1.076
2019/06/09,20:00,1.083
2019/06/09,21:00,1.087
2019/06/09,22:00,1.08
2019/06/09,23:00,1.083
2019/06/10,00:00,1.085
2019/06/10,01:00,1.079
2019/06/10,02:00,1.072
2019/06/10,03:00,1.079
2019/06/10,04:00,1.077
2019/06/10,05:00,1.059
2019/06/10,06:00,1.072
2019/06/10,07:00,1.071
2019/06/10,08:00,1.071
2019/06/10,09:00,1.065
2019/06/10,10:00,1.106
2019/06/10,11:00,1.084
2019/06/10,12:00,1.084
2019/06/10,13:00,1.087
2019/06/10,14:00,1.088
2019/06/10,15:00,1.093
2019/06/10,16:00,1.098
2019/06/10,17:00,1.099
2019/06/10,18:00,1.101
2019/06/10,19:00,1.10
2019/06/10,20:00,1.09
2019/06/10,21:00,1.106
2019/06/10,22:00,1.113
2019/06/10,23:00,1.114
2019/06/11,00:00,1.12
2019/06/11,01:00,1.125
2019/06/11,02:00,1.136
2019/06/11,03:00,1.162
2019/06/11,04:00,1.179
2019/06/11,05:00,1.191
2019/06/11,06:00,1.184
2019/06/11,07:00,1.191
2019/06/11,08:00,1.193
2019/06/11,09:00,1.197
2019/06/11,10:00,1.18
2019/06/11,11:00,1.182
2019/06/11,12:00,1.183
2019/06/11,13:00,1.205
2019/06/11,14:00,1.183
2019/06/11,15:00,1.18
2019/06/11,16:00,1.20
2019/06/11,17:00,1.21
2019/06/11,18:00,1.217
2019/06/11,19:00,1.217
2019/06/11,20:00,1.211
2019/06/11,21:00,1.208
2019/06/11,22:00,1.206
2019/06/11,23:00,1.204
2019/06/12,00:00,1.203
2019/06/12,01:00,1.192
2019/06/12,02:00,1.199
2019/06/12,03:00,1.186
2019/06/12,04:00,1.188
2019/06/12,05:00,1.188
2019/06/12,06:00,1.187
2019/06/12,07:00,1.193
2019/06/12,08:00,1.196
2019/06/12,09:00,1.179
2019/06/12,10:00,1.214
2019/06/12,11:00,1.22
2019/06/12,12:00,1.221
2019/06/12,13:00,1.223
2019/06/12,14:00,1.217
2019/06/12,15:00,1.213
2019/06/12,16:00,1.221
2019/06/12,17:00,1.218
2019/06/12,18:00,1.222
2019/06/12,19:00,1.233
2019/06/12,20:00,1.225
2019/06/12,21:00,1.227
2019/06/12,22:00,1.222
2019/06/12,23:00,1.224
2019/06/13,00:00,1.222
2019/06/13,01:00,1.22
2019/06/13,02:00,1.213
2019/06/13,03:00,1.214
2019/06/13,04:00,1.221
2019/06/13,05:00,1.23
2019/06/13,06:00,1.249
2019/06/13,07:00,1.225
