# Station : Cornwall (14870) 
# Time Zone: EST
# Chart Datum is 46.400 metres above IGLD 1985
# For Real Time Water Levels Call 613-930-9373
Date,Time,Height
2019/06/01,00:00,0.597
2019/06/01,01:00,0.595
2019/06/01,02:00,0.597
2019/06/01,03:00,0.595
2019/06/01,04:00,0.598
2019/06/01,05:00,0.594
2019/06/01,06:00,0.59
2019/06/01,07:00,0.594
2019/06/01,08:00,0.596
2019/06/01,09:00,0.596
2019/06/01,10:00,0.603
2019/06/01,11:00,0.608
2019/06/01,12:00,0.617
2019/06/01,13:00,0.623
2019/06/01,14:00,0.626
2019/06/01,15:00,0.625
2019/06/01,16:00,0.629
2019/06/01,17:00,0.625
2019/06/01,18:00,0.619
2019/06/01,19:00,0.616
2019/06/01,20:00,0.615
2019/06/01,21:00,0.613
2019/06/01,22:00,0.613
2019/06/01,23:00,0.616
2019/06/02,00:00,0.611
2019/06/02,01:00,0.609
2019/06/02,02:00,0.605
2019/06/02,03:00,0.606
2019/06/02,04:00,0.609
2019/06/02,05:00,0.603
2019/06/02,06:00,0.604
2019/06/02,07:00,0.594
2019/06/02,08:00,0.60
2019/06/02,09:00,0.597
2019/06/02,10:00,0.594
2019/06/02,11:00,0.59
2019/06/02,12:00,0.588
2019/06/02,13:00,0.585
2019/06/02,14:00,0.581
2019/06/02,15:00,0.586
2019/06/02,16:00,0.587
2019/06/02,17:00,0.589
2019/06/02,18:00,0.586
2019/06/02,19:00,0.581
2019/06/02,20:00,0.588
2019/06/02,21:00,0.578
2019/06/02,22:00,0.573
2019/06/02,23:00,0.596
2019/06/03,00:00,0.602
2019/06/03,01:00,0.598
2019/06/03,02:00,0.60
2019/06/03,03:00,0.587
2019/06/03,04:00,0.587
2019/06/03,05:00,0.573
2019/06/03,06:00,0.562
2019/06/03,07:00,0.556
2019/06/03,08:00,0.559
2019/06/03,09:00,0.553
2019/06/03,10:00,0.534
2019/06/03,11:00,0.539
2019/06/03,12:00,0.544
2019/06/03,13:00,0.549
2019/06/03,14:00,0.547
2019/06/03,15:00,0.56
2019/06/03,16:00,0.569
2019/06/03,17:00,0.589
2019/06/03,18:00,0.606
2019/06/03,19:00,0.615
2019/06/03,20:00,0.622
2019/06/03,21:00,0.63
2019/06/03,22:00,0.631
2019/06/03,23:00,0.631
2019/06/04,00:00,0.632
2019/06/04,01:00,0.636
2019/06/04,02:00,0.638
2019/06/04,03:00,0.634
2019/06/04,04:00,0.638
2019/06/04,05:00,0.641
2019/06/04,06:00,0.64
2019/06/04,07:00,0.642
2019/06/04,08:00,0.64
2019/06/04,09:00,0.648
2019/06/04,10:00,0.656
2019/06/04,11:00,0.661
2019/06/04,12:00,0.667
2019/06/04,13:00,0.662
2019/06/04,14:00,0.65
2019/06/04,15:00,0.626
2019/06/04,16:00,0.59
2019/06/04,17:00,0.583
2019/06/04,18:00,0.595
2019/06/04,19:00,0.625
2019/06/04,20:00,0.641
2019/06/04,21:00,0.641
2019/06/04,22:00,0.651
2019/06/04,23:00,0.651
2019/06/05,00:00,0.654
2019/06/05,01:00,0.669
2019/06/05,02:00,0.673
2019/06/05,03:00,0.673
2019/06/05,04:00,0.674
2019/06/05,05:00,0.672
2019/06/05,06:00,0.677
2019/06/05,07:00,0.676
2019/06/05,08:00,0.67
2019/06/05,09:00,0.679
2019/06/05,10:00,0.679
2019/06/05,11:00,0.68
2019/06/05,12:00,0.684
2019/06/05,13:00,0.685
2019/06/05,14:00,0.688
2019/06/05,15:00,0.689
2019/06/05,16:00,0.686
2019/06/05,17:00,0.689
2019/06/05,18:00,0.689
2019/06/05,19:00,0.69
2019/06/05,20:00,0.688
2019/06/05,21:00,0.693
2019/06/05,22:00,0.702
2019/06/05,23:00,0.705
2019/06/06,00:00,0.709
2019/06/06,01:00,0.706
2019/06/06,02:00,0.709
2019/06/06,03:00,0.709
2019/06/06,04:00,0.709
2019/06/06,05:00,0.706
2019/06/06,06:00,0.708
2019/06/06,07:00,0.712
2019/06/06,08:00,0.71
2019/06/06,09:00,0.718
2019/06/06,10:00,0.731
2019/06/06,11:00,0.737
2019/06/06,12:00,0.732
2019/06/06,13:00,0.735
2019/06/06,14:00,0.735
2019/06/06,15:00,0.738
2019/06/06,16:00,0.742
2019/06/06,17:00,0.74
2019/06/06,18:00,0.743
2019/06/06,19:00,0.749
2019/06/06,20:00,0.756
2019/06/06,21:00,0.757
2019/06/06,22:00,0.757
2019/06/06,23:00,0.751
2019/06/07,00:00,0.756
2019/06/07,01:00,0.752
2019/06/07,02:00,0.752
2019/06/07,03:00,0.754
2019/06/07,04:00,0.758
2019/06/07,05:00,0.76
2019/06/07,06:00,0.76
2019/06/07,07:00,0.762
2019/06/07,08:00,0.758
2019/06/07,09:00,0.757
2019/06/07,10:00,0.757
2019/06/07,11:00,0.75
2019/06/07,12:00,0.753
2019/06/07,13:00,0.739
2019/06/07,14:00,0.743
2019/06/07,15:00,0.739
2019/06/07,16:00,0.751
2019/06/07,17:00,0.753
2019/06/07,18:00,0.752
2019/06/07,19:00,0.758
2019/06/07,20:00,0.757
2019/06/07,21:00,0.752
2019/06/07,22:00,0.748
2019/06/07,23:00,0.747
2019/06/08,00:00,0.748
2019/06/08,01:00,0.747
2019/06/08,02:00,0.757
2019/06/08,03:00,0.753
2019/06/08,04:00,0.752
2019/06/08,05:00,0.753
2019/06/08,06:00,0.749
2019/06/08,07:00,0.754
2019/06/08,08:00,0.752
2019/06/08,09:00,0.757
2019/06/08,10:00,0.756
2019/06/08,11:00,0.751
2019/06/08,12:00,0.744
2019/06/08,13:00,0.746
2019/06/08,14:00,0.75
2019/06/08,15:00,0.754
2019/06/08,16:00,0.749
2019/06/08,17:00,0.75
2019/06/08,18:00,0.752
2019/06/08,19:00,0.744
2019/06/08,20:00,0.74
2019/06/08,21:00,0.737
2019/06/08,22:00,0.739
2019/06/08,23:00,0.733
2019/06/09,00:00,0.739
2019/06/09,01:00,0.742
2019/06/09,02:00,0.74
2019/06/09,03:00,0.738
2019/06/09,06:00,0.73
2019/06/09,07:00,0.736
2019/06/09,08:00,0.738
2019/06/09,09:00,0.743
2019/06/09,10:00,0.739
2019/06/09,11:00,0.739
2019/06/09,12:00,0.735
2019/06/09,13:00,0.735
2019/06/09,14:00,0.739
2019/06/09,15:00,0.736
2019/06/09,16:00,0.744
2019/06/09,17:00,0.735
2019/06/09,18:00,0.735
2019/06/09,19:00,0.739
2019/06/09,20:00,0.73
2019/06/09,21:00,0.737
2019/06/09,22:00,0.733
2019/06/09,23:00,0.733
2019/06/10,00:00,0.734
2019/06/10,01:00,0.733
2019/06/10,02:00,0.737
2019/06/10,03:00,0.74
2019/06/10,04:00,0.74
2019/06/10,05:00,0.737
2019/06/10,06:00,0.747
2019/06/10,07:00,0.749
2019/06/10,08:00,0.751
2019/06/10,09:00,0.751
2019/06/10,10:00,0.75
2019/06/10,11:00,0.756
2019/06/10,12:00,0.754
2019/06/10,13:00,0.749
2019/06/10,14:00,0.746
2019/06/10,15:00,0.744
2019/06/10,16:00,0.747
2019/06/10,17:00,0.746
2019/06/10,18:00,0.748
2019/06/10,19:00,0.746
2019/06/10,20:00,0.751
2019/06/10,21:00,0.754
2019/06/10,22:00,0.76
2019/06/10,23:00,0.762
2019/06/11,00:00,0.767
2019/06/11,01:00,0.764
2019/06/11,02:00,0.767
2019/06/11,03:00,0.765
2019/06/11,04:00,0.757
2019/06/11,05:00,0.742
2019/06/11,06:00,0.714
2019/06/11,07:00,0.703
2019/06/11,08:00,0.703
2019/06/11,09:00,0.704
2019/06/11,10:00,0.702
2019/06/11,11:00,0.715
2019/06/11,12:00,0.726
2019/06/11,13:00,0.729
2019/06/11,14:00,0.728
2019/06/11,15:00,0.727
2019/06/11,16:00,0.734
2019/06/11,17:00,0.742
2019/06/11,18:00,0.742
2019/06/11,19:00,0.75
2019/06/11,20:00,0.76
2019/06/11,21:00,0.763
2019/06/11,22:00,0.76
2019/06/11,23:00,0.754
2019/06/12,00:00,0.759
2019/06/12,01:00,0.755
2019/06/12,02:00,0.747
2019/06/12,03:00,0.746
2019/06/12,04:00,0.744
2019/06/12,05:00,0.743
2019/06/12,06:00,0.743
2019/06/12,07:00,0.74
2019/06/12,08:00,0.745
2019/06/12,09:00,0.745
2019/06/12,10:00,0.745
2019/06/12,11:00,0.746
2019/06/12,12:00,0.751
2019/06/12,13:00,0.757
2019/06/12,14:00,0.76
2019/06/12,15:00,0.754
2019/06/12,16:00,0.746
2019/06/12,17:00,0.752
2019/06/12,18:00,0.751
2019/06/12,19:00,0.753
2019/06/12,20:00,0.755
2019/06/12,21:00,0.752
2019/06/12,22:00,0.75
2019/06/12,23:00,0.749
2019/06/13,00:00,0.743
2019/06/13,01:00,0.747
2019/06/13,02:00,0.749
2019/06/13,03:00,0.75
2019/06/13,04:00,0.749
2019/06/13,05:00,0.744
2019/06/13,06:00,0.755
2019/06/13,07:00,0.756
2019/06/13,08:00,0.761
2019/06/13,09:00,0.767
