# Station : Summerstown (14940) 
# Time Zone: EST
# Chart Datum is 46.243 metres above IGLD 1985
# For Real Time Water Levels Call 613-931-2089
Date,Time,Height
2019/06/01,00:00,0.475
2019/06/01,01:00,0.475
2019/06/01,02:00,0.472
2019/06/01,03:00,0.471
2019/06/01,04:00,0.463
2019/06/01,05:00,0.466
2019/06/01,06:00,0.471
2019/06/01,07:00,0.468
2019/06/01,08:00,0.469
2019/06/01,09:00,0.471
2019/06/01,10:00,0.476
2019/06/01,11:00,0.473
2019/06/01,12:00,0.477
2019/06/01,13:00,0.483
2019/06/01,14:00,0.48
2019/06/01,15:00,0.488
2019/06/01,16:00,0.482
2019/06/01,17:00,0.484
2019/06/01,18:00,0.484
2019/06/01,19:00,0.484
2019/06/01,20:00,0.48
2019/06/01,21:00,0.48
2019/06/01,22:00,0.479
2019/06/01,23:00,0.476
2019/06/02,00:00,0.48
2019/06/02,01:00,0.468
2019/06/02,02:00,0.464
2019/06/02,03:00,0.473
2019/06/02,04:00,0.473
2019/06/02,05:00,0.469
2019/06/02,06:00,0.468
2019/06/02,07:00,0.469
2019/06/02,08:00,0.469
2019/06/02,09:00,0.466
2019/06/02,10:00,0.47
2019/06/02,11:00,0.463
2019/06/02,12:00,0.462
2019/06/02,13:00,0.459
2019/06/02,14:00,0.458
2019/06/02,15:00,0.456
2019/06/02,16:00,0.458
2019/06/02,17:00,0.459
2019/06/02,18:00,0.455
2019/06/02,19:00,0.458
2019/06/02,20:00,0.459
2019/06/02,21:00,0.445
2019/06/02,22:00,0.452
2019/06/02,23:00,0.465
2019/06/03,00:00,0.464
2019/06/03,01:00,0.451
2019/06/03,02:00,0.455
2019/06/03,03:00,0.448
2019/06/03,04:00,0.434
2019/06/03,05:00,0.434
2019/06/03,06:00,0.431
2019/06/03,07:00,0.426
2019/06/03,08:00,0.422
2019/06/03,09:00,0.421
2019/06/03,10:00,0.407
2019/06/03,11:00,0.412
2019/06/03,12:00,0.422
2019/06/03,13:00,0.417
2019/06/03,14:00,0.411
2019/06/03,15:00,0.431
2019/06/03,16:00,0.434
2019/06/03,17:00,0.446
2019/06/03,18:00,0.451
2019/06/03,19:00,0.455
2019/06/03,20:00,0.469
